Individu;Edat;Sexe
1451;57;Dona
1452;37;Dona
1453;84;Home
1454;80;Dona
1455;56;Home
1456;54;Dona
1457;51;Home
1458;47;Dona
1459;85;Dona
1460;51;Dona
1461;83;Dona
1462;78;Home
1463;73;Dona
1464;40;Home
1465;92;Dona
1466;82;Dona
1467;58;Dona
1468;55;Home
1469;54;Home
1470;51;Home
1471;49;Dona
1472;57;Home
1473;54;Dona
1474;71;Home
1475;68;Dona
1476;46;Home
1477;57;Home
1478;53;Dona
1479;88;Dona
1480;71;Home
1481;70;Dona
1482;45;Dona
1483;63;Dona
1484;42;Home
1485;60;Home
1486;55;Dona
1487;70;Dona
1488;42;Dona
1489;82;Dona
1490;50;Dona
1491;45;Home
1492;42;Home
1493;55;Home
1494;54;Dona
1495;58;Home
1496;50;Home
1497;74;Home
1498;71;Dona
1499;46;Dona
1500;38;Home
1501;84;Dona
1502;47;Dona
1503;75;Home
1504;68;Dona
1505;47;Dona
1506;40;Home
1507;74;Dona
1508;48;Dona
1509;46;Home
1510;61;Home
1511;44;Dona
1512;59;Home
1513;49;Dona
1514;89;Dona
1515;54;Home
1516;86;Dona
1517;53;Home
1518;82;Dona
1519;74;Home
1520;82;Dona
1521;56;Home
1522;89;Dona
1523;59;Home
1524;68;Home
1525;63;Dona
1526;39;Home
1527;38;Dona
1528;87;Dona
1529;54;Home
1530;66;Home
1531;67;Dona
1532;38;Dona
1533;87;Dona
1534;51;Home
1535;96;Home
1536;69;Dona
1537;43;Dona
1538;33;Dona
1539;70;Home
1540;42;Dona
1541;39;Home
1542;70;Dona
1543;43;Home
1544;42;Home
1545;38;Home
1546;50;Dona
1547;49;Home
1548;87;Dona
1549;56;Dona
1550;51;Dona
1551;49;Dona
1552;62;Home
1553;61;Dona
1554;35;Dona
1555;61;Home
1556;58;Dona
1557;38;Dona
1558;78;Home
1559;73;Dona
1560;46;Home
1561;41;Home
1562;72;Dona
1563;45;Dona
1564;71;Home
1565;71;Dona
1566;67;Home
1567;61;Dona
1568;38;Dona
1569;56;Home
1570;89;Home
1571;50;Home
1572;63;Home
1573;60;Dona
1574;37;Dona
1575;80;Home
1576;76;Dona
1577;52;Home
1578;50;Home
1579;75;Home
1580;72;Dona
1581;47;Dona
1582;44;Dona
1583;85;Dona
1584;51;Home
1585;45;Home
1586;79;Dona
1587;55;Dona
1588;52;Home
1589;69;Home
1590;70;Dona
1591;48;Dona
1592;38;Dona
1593;37;Home
1594;83;Dona
1595;76;Dona
1596;53;Home
1597;50;Home
1598;76;Home
1599;71;Dona
1600;46;Dona
1601;96;Dona
1602;60;Home
1603;59;Dona
1604;61;Home
1605;58;Dona
1606;69;Home
1607;64;Dona
1608;42;Dona
1609;52;Dona
1610;43;Home
1611;61;Home
1612;63;Dona
1613;40;Dona
1614;94;Dona
1615;45;Home
1616;41;Home
1617;72;Dona
1618;50;Dona
1619;38;Dona
1620;76;Home
1621;72;Dona
1622;48;Home
1623;84;Home
1624;82;Dona
1625;44;Home
1626;93;Home
1627;79;Dona
1628;49;Dona
1629;48;Dona
1630;78;Home
1631;75;Dona
1632;50;Dona
1633;48;Home
1634;75;Home
1635;76;Dona
1636;84;Dona
1637;53;Dona
1638;77;Home
1639;74;Dona
1640;41;Dona
1641;88;Home
1642;86;Dona
1643;50;Dona
1644;90;Dona
1645;62;Dona
1646;51;Home
1647;50;Home
1648;58;Home
1649;55;Dona
1650;65;Dona
1651;42;Dona
1652;38;Dona
1653;48;Dona
1654;63;Home
1655;52;Dona
1656;62;Dona
1657;43;Home
1658;64;Home
1659;59;Dona
1660;39;Dona
1661;52;Home
1662;56;Dona
1663;59;Dona
1664;60;Home
1665;55;Dona
1666;33;Home
1667;62;Home
1668;58;Dona
1669;34;Dona
1670;60;Home
1671;58;Dona
1672;35;Dona
1673;47;Home
1674;39;Dona
1675;72;Home
1676;72;Dona
1677;36;Dona
1678;86;Dona
1679;54;Home
1680;62;Home
1681;59;Dona
1682;69;Home
1683;69;Dona
1684;41;Home
1685;65;Home
1686;66;Dona
1687;36;Home
1688;77;Dona
1689;49;Home
1690;62;Home
1691;60;Dona
1692;34;Dona
1693;85;Dona
1694;63;Home
1695;63;Dona
1696;36;Dona
1697;55;Home
1698;72;Dona
1699;40;Dona
1700;75;Dona
1701;47;Home
1702;39;Dona
1703;79;Home
1704;75;Dona
1705;43;Home
1706;41;Home
1707;40;Home
1708;55;Home
1709;83;Home
1710;81;Dona
1711;69;Home
1712;64;Dona
1713;37;Home
1714;85;Dona
1715;62;Home
1716;62;Dona
1717;72;Home
1718;71;Dona
1719;44;Dona
1720;41;Home
1721;87;Home
1722;50;Dona
1723;50;Dona
1724;47;Dona
1725;41;Dona
1726;63;Home
1727;57;Dona
1728;81;Dona
1729;47;Home
1730;86;Dona
1731;50;Dona
1732;63;Home
1733;62;Dona
1734;34;Home
1735;60;Dona
1736;74;Home
1737;74;Dona
1738;45;Home
1739;41;Dona
1740;69;Dona
1741;43;Dona
1742;36;Dona
1743;69;Dona
1744;44;Home
